"issue","treated","accuracy","preference","republican","age","gov_exp"
"Needle Exchange",0,0.25,0,1,NA,15
"Needle Exchange",1,0.75,0.833,0,NA,25
"Needle Exchange",1,0.5,0.333,1,45,11
"Needle Exchange",1,0,0.333,1,NA,5
"Needle Exchange",1,0.25,1,1,63,2
"Needle Exchange",0,0.75,0.5,0,25,3
"Needle Exchange",1,1,1,1,58,2
"Needle Exchange",1,0,0.667,1,NA,10
"Needle Exchange",0,1,0.167,1,60,35
"Needle Exchange",1,1,1,0,63,10
"Needle Exchange",1,0,1,0,66,30
"Needle Exchange",0,0.75,0.167,1,24,2
"Needle Exchange",1,0.75,0.5,1,53,2
"Needle Exchange",1,0.75,1,0,71,30
"Needle Exchange",1,0.75,0.333,1,66,4
"Needle Exchange",0,0.75,0.833,0,64,21
"Needle Exchange",1,1,0.667,1,25,3
"Needle Exchange",0,0.75,0.667,1,60,9
"Needle Exchange",1,1,1,0,52,10
"Needle Exchange",1,1,1,0,NA,6
"Needle Exchange",1,0.5,0,1,86,12
"Needle Exchange",1,1,0.833,0,NA,43
"Needle Exchange",0,0.25,0.167,1,45,3
"Needle Exchange",1,1,1,0,NA,3
"Needle Exchange",0,0.5,0.667,1,NA,35
"Needle Exchange",1,0.75,0.333,0,NA,10
"Needle Exchange",1,0.75,0.667,0,NA,28
"Needle Exchange",1,1,0.833,0,NA,6
"Needle Exchange",0,1,1,0,78,12
"Needle Exchange",1,0.75,1,0,NA,21
"Needle Exchange",0,1,0.833,0,NA,8
"Needle Exchange",0,0.75,0.333,0,NA,33
"Needle Exchange",0,0.75,1,0,39,8
"Needle Exchange",1,1,1,0,32,9
"Needle Exchange",1,0.75,0.667,1,30,5
"Needle Exchange",1,1,1,0,57,30
"Needle Exchange",1,1,0.833,1,59,34
"Needle Exchange",1,1,1,0,64,4
"Needle Exchange",1,0.75,0.5,1,25,2
"Needle Exchange",1,1,0.833,1,NA,3
"Needle Exchange",1,1,0.5,1,65,7
"Needle Exchange",1,0.5,0.5,0,NA,25
"Needle Exchange",0,0,1,1,NA,8
"Needle Exchange",1,0.75,0.5,1,30,8
"Needle Exchange",1,0,0.833,0,NA,4
"Needle Exchange",0,0.75,1,0,25,3
"Needle Exchange",0,1,1,0,NA,30
"Needle Exchange",0,0.75,0.833,1,63,20
"Needle Exchange",0,1,0.833,0,71,23
"Needle Exchange",1,1,1,1,NA,10
"Needle Exchange",0,0.25,0.667,1,31,5
"Needle Exchange",0,1,0.5,0,25,1
"Needle Exchange",1,1,1,0,30,4
"Needle Exchange",0,0.75,0.833,1,29,5
"Needle Exchange",1,0.75,0.333,1,62,20
"Needle Exchange",0,1,0.833,0,27,1
"Needle Exchange",1,1,0.833,0,NA,4
"Needle Exchange",0,0.5,0.833,0,63,11
"Needle Exchange",1,1,1,0,NA,3
"Needle Exchange",0,0.75,1,0,28,3
"Needle Exchange",1,0.75,0.667,1,27,3
"Needle Exchange",1,1,1,0,23,1
"Needle Exchange",1,1,0.833,1,28,5
"Needle Exchange",0,1,1,0,28,4
"Needle Exchange",0,0.75,0.5,NA,NA,20
"Needle Exchange",0,1,0,1,30,5
"Needle Exchange",1,1,1,0,24,1
"Needle Exchange",1,0.5,0.667,0,50,9
"Needle Exchange",1,1,1,0,NA,2
"Needle Exchange",0,0,0.333,NA,NA,6
"Needle Exchange",0,1,0.833,0,NA,3
