"rcid","country","country_code","year","vote","session","importantvote","date","unres","amend","para","short","descr","short_name","issue"
6,"Canada","CA",1946,"no",1,0,1946-01-04,"R/1/107",0,0,"DECLARATION OF HUMAN RIGHTS","TO ADOPT A CUBAN PROPOSAL (A/3-C) THAT AN ITEM ON A DECLARATION OF THE RIGHTS AND DUTIES OF MAN BE TABLED.","hr","Human rights"
8,"Canada","CA",1946,"yes",1,0,1946-01-05,"R/1/297",1,0,"ECOSOC POWERS","TO ADOPT A SECOND 6TH COMM. AMENDMENT (A/14) TO THE PROVISIONAL RULES OF PROCEDURE, WHICH AMENDMENT EPLACES PROVISIONAL RULE T WITH A NEW TEXT AUTHORIZING THE ECONOMIC & SOC. COUNCIL TO CALL INTERNATIONAL CONFERENCES ON ANY MATTER WITHIN ITS CO","ec","Economic development"
11,"Canada","CA",1946,"yes",1,0,1946-02-05,"R/1/376",0,0,"TRUSTEESHIP AMENDMENTS","TO ADOPT DRAFT RESOLUTIONS I AND II AS A WHOLE, OF THE 4TH COMM. REPORT (A/34) ON NON-SELF-GOVERNING TERRITORIES. RESOLUTION I PROVIDES TO PROMOTE THE POLITICAL, SOCIAL, ECONOMIC, AND EDUCATIONAL ASPIRATIONS OF NON-SELF-GOVERNING PEOPLES THROUG","co","Colonialism"
11,"Canada","CA",1946,"yes",1,0,1946-02-05,"R/1/376",0,0,"TRUSTEESHIP AMENDMENTS","TO ADOPT DRAFT RESOLUTIONS I AND II AS A WHOLE, OF THE 4TH COMM. REPORT (A/34) ON NON-SELF-GOVERNING TERRITORIES. RESOLUTION I PROVIDES TO PROMOTE THE POLITICAL, SOCIAL, ECONOMIC, AND EDUCATIONAL ASPIRATIONS OF NON-SELF-GOVERNING PEOPLES THROUG","ec","Economic development"
18,"Canada","CA",1946,"no",1,0,1946-02-03,"R/1/532",1,0,"ECOSOC CONSULTANTS","TO ADOPT USSR (ORAL) AMENDMENT REPLACING THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) WITH THE FOLLOWING:  \TAKING INTO CONSIDERATION THE QUESTION RAISED BY THE WORLD FEDERATION OF TRADE UNIONS CONCERNING ITS PARTICIPATION IN THE WORK OF THE ECO","ec","Economic development"
19,"Canada","CA",1946,"yes",1,0,1946-02-03,"R/1/534",0,0,"ECOSOC CONSULTANTS","TO ADOPT THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) PROVIDING THAT THE E.S.C. ARRANGE FOR CONSULTATIVE COLLABORATION WITH NON-GOVERNMENTAL ORGANIZATIONS, INTERNATIONAL, NATIONAL OR REGIONAL.","ec","Economic development"
24,"Canada","CA",1946,"yes",1,0,1946-12-05,"R/1/1229",0,0,"ECOSOC ELECTIONS","TO ADOPT BELGIAN ORAL PROPOSAL TO SURRENDER BELGIUM'S SEAT IN THE E.S.C., PROVIDING THAT THE NETHERLANDS AND TURKEY BE THEREBY ELECTED TO THE 2 REMAINING VACANCIES.","ec","Economic development"
27,"Canada","CA",1946,"yes",1,0,1946-12-06,"R/1/1287/A",0,0,"NEW GUINEA TRUSTEESHIP","TO ADOPT THE TRUSTEESHIP AGREEMENT FOR NEW GUINEA SUBMITTED BY AUSTRALIA, ON THE BASIS OF 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1) WHICH APPROVES EACH OF THE 8 TRUSTEESHIP AGREEMENTS.","co","Colonialism"
28,"Canada","CA",1946,"yes",1,0,1946-12-06,"R/1/1287/B",0,0,"RUANDA-URUNDI TRUSTEESHIP","TO ADOPT THE TRUSTEESHIP AGREEMENT FOR RUANDA-URUNDI SUBMITTED BY BELGIUM, INCLUDING THE PROPOSAL ON THE PREAMBLE.  THE AGREEMENT INCLUDING PROPOSAL IS APPROVED BY THE 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV. 1)","co","Colonialism"
29,"Canada","CA",1946,"yes",1,0,1946-12-06,"R/1/1287C",0,0,"FRENCH CAMEROONS TRUSTEESHIP","TO ADOPT THE TRUSTEESHIP AGREEMENT FOR THE FRENCH CAMEROONS  SUBMITTED BY FRANCE, INCLUDING THE PROPOSAL ON THE PREAMBLE. THE AGREEMENT AND PROPOSAL ARE APPROVED BY THE 4TH COM. COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).","co","Colonialism"
30,"Canada","CA",1946,"yes",1,0,1946-12-06,"R/1/1288A",0,0,"FRENCH TOGOLAND TRUSTEESHIP","TO ADOPT THE TRUSTEESHIP AGREEMENT FOR FRENCH TOGOLAND SUBMITTED BY FRANCE; SAID AGREEMENT APPROVED IN 4TH COMM DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3 AND REV.1).","co","Colonialism"
31,"Canada","CA",1946,"yes",1,0,1946-12-06,"GOAR/1/1288B",0,0,"WESTERN SAMOA TRUSTEESHIP","TO ADOPT TRUSTEESHIP AGREEMENT FOR WESTERN SAMOA SUBMITTED BY NEW ZEALAND; SAID AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, AND REV.1).","co","Colonialism"
