"country_name","country_id","year","v2mefemjrn","v2pepwrgen"
"Mexico",3,2023,37,1.245
"Suriname",4,2023,42.5,1.59
"Sweden",5,2023,54.143,3.395
"Switzerland",6,2023,40.75,2.469
"Ghana",7,2023,46.111,1.109
"South Africa",8,2023,44.6,1.334
"Japan",9,2023,26.375,0.941
"Burma/Myanmar",10,2023,30.75,0.315
"Russia",11,2023,56.833,-0.583
"Albania",12,2023,57.545,1.459
"Egypt",13,2023,38.571,-0.11
"Yemen",14,2023,16.75,-2.318
"Colombia",15,2023,43.75,0.914
"Poland",17,2023,45.167,1.889
"Brazil",19,2023,50.375,0.815
"United States of America",20,2023,43.75,1.886
"Portugal",21,2023,60.375,1.408
"El Salvador",22,2023,31.667,-0.101
"Bangladesh",24,2023,30.5,0.405
"Bolivia",25,2023,43.429,1.271
"Haiti",26,2023,21.2,-0.894
"Honduras",27,2023,50,1.119
"Mali",28,2023,17.6,0.904
"Pakistan",29,2023,25.636,0.529
"Peru",30,2023,51.286,1.552
"Senegal",31,2023,50,1.487
"South Sudan",32,2023,25,-0.944
"Sudan",33,2023,36.667,-1.36
"Vietnam",34,2023,45,1.236
"Afghanistan",36,2023,3.771,-2.817
"Argentina",37,2023,35.889,1.523
"Ethiopia",38,2023,41.667,1.642
"India",39,2023,29.538,0.767
"Kenya",40,2023,35.333,1.121
"North Korea",41,2023,28.2,0.127
"South Korea",42,2023,35.25,1.38
"Kosovo",43,2023,60.625,0.257
"Lebanon",44,2023,51.778,-0.308
"Nigeria",45,2023,44.615,0.376
"Philippines",46,2023,48.333,1.583
"Tanzania",47,2023,35,2.339
"Taiwan",48,2023,46.75,3.128
"Thailand",49,2023,54.75,2.594
"Uganda",50,2023,42.4,0.98
"Venezuela",51,2023,59.3,1.518
"Benin",52,2023,28.333,1.406
"Bhutan",53,2023,36.857,1.281
"Burkina Faso",54,2023,36.667,-0.313
"Cambodia",55,2023,22.5,0.576
"Indonesia",56,2023,28.8,0.926
"Mozambique",57,2023,26,1.272
"Nepal",58,2023,30,1.271
"Nicaragua",59,2023,41.5,0.455
"Niger",60,2023,29.286,0.844
"Zambia",61,2023,59.375,1.095
"Zimbabwe",62,2023,37.4,-0.198
"Guinea",63,2023,31.333,0.188
"Ivory Coast",64,2023,31.667,1.091
"Mauritania",65,2023,16.2,0.448
"Canada",66,2023,46,2.68
"Australia",67,2023,53.2,2.593
"Botswana",68,2023,46.667,-0.273
"Burundi",69,2023,37.857,0.48
"Cape Verde",70,2023,45.333,0.452
"Central African Republic",71,2023,18.75,1.402
"Chile",72,2023,40.833,2.398
"Costa Rica",73,2023,42.8,3.24
"Timor-Leste",74,2023,36.2,0.623
"Ecuador",75,2023,43.75,0.691
"France",76,2023,49.8,3.207
"Germany",77,2023,48.571,2.899
"Guatemala",78,2023,48.286,1.018
"Iran",79,2023,43.833,-0.908
"Iraq",80,2023,22.2,-0.405
"Ireland",81,2023,42.714,1.72
"Italy",82,2023,46.25,2.312
"Jordan",83,2023,42.5,-1.002
"Latvia",84,2023,67.111,2.519
"Lesotho",85,2023,34.667,1.937
"Liberia",86,2023,32.5,1.603
"Malawi",87,2023,46,0.532
"Maldives",88,2023,35.2,0.9
"Mongolia",89,2023,57.25,1.101
"Morocco",90,2023,40.5,0.743
"Netherlands",91,2023,46,2.644
"Panama",92,2023,37.6,0.387
"Papua New Guinea",93,2023,29.5,-0.382
"Qatar",94,2023,32.143,-0.897
"Sierra Leone",95,2023,40.6,0.979
"Spain",96,2023,51.909,2.102
"Syria",97,2023,28.222,-1.797
"Tunisia",98,2023,54.5,1.179
"Türkiye",99,2023,42.667,0.227
"Ukraine",100,2023,62,2.414
"United Kingdom",101,2023,47.4,2.012
"Uruguay",102,2023,36.667,1.839
"Algeria",103,2023,45,0.328
"Angola",104,2023,45.25,1.328
"Armenia",105,2023,62,0.644
"Azerbaijan",106,2023,46.833,0.541
"Belarus",107,2023,56,0.937
"Cameroon",108,2023,49.222,1.131
"Chad",109,2023,18.25,-0.157
"China",110,2023,42.273,-0.316
"Democratic Republic of the Congo",111,2023,32,1.013
"Republic of the Congo",112,2023,28.2,-0.631
"Djibouti",113,2023,26.8,2.06
"Dominican Republic",114,2023,50,0.998
